Measure-Key,Measure-Name,Input-networks,Input-nodesets,Input-parameters,
inDegreeCentrality-3,inDegreeCentrality,Meta-Node grouping 1,,,
inDegreeCentrality-1,inDegreeCentrality,Semantic Network,,,
inDegreeCentralization-1,inDegreeCentralization,Concept X Meta-Node 1,,,
inDegreeCentralization-2,inDegreeCentralization,Meta-Node grouping 1,,,
inDegreeCentralization-3,inDegreeCentralization,Semantic Network,,,
inInverseClosenessCentrality-2,inInverseClosenessCentrality,Meta-Node grouping 1,,,
inInverseClosenessCentrality-1,inInverseClosenessCentrality,Semantic Network,,,
informationCentrality-1,informationCentrality,Meta-Node grouping 1,,,
interdependence-1,interdependence,Meta-Node grouping 1,,,
interdependence-2,interdependence,Semantic Network,,,
interlockers-2,interlockers,Meta-Node grouping 1,,,
interlockers-1,interlockers,Semantic Network,,,
inverseClosenessCentrality-2,inverseClosenessCentrality,Meta-Node grouping 1,,,
inverseClosenessCentrality-1,inverseClosenessCentrality,Semantic Network,,,
isolateCount-1,isolateCount,Meta-Node grouping 1,,,
isolateCount-2,isolateCount,Semantic Network,,,
lateralEdgeCount-1,lateralEdgeCount,Meta-Node grouping 1,,,
lateralEdgeCount-2,lateralEdgeCount,Semantic Network,,,
localEfficiency-1,localEfficiency,Meta-Node grouping 1,,,
localEfficiency-2,localEfficiency,Semantic Network,,,
minimumSpeed-1,minimumSpeed,Meta-Node grouping 1,,,
minimumSpeed-2,minimumSpeed,Semantic Network,,,
nodeCount-1,nodeCount,Meta-Node grouping 1,,,
nodeCount-2,nodeCount,Semantic Network,,,
nodesetSize-1,nodesetSize,,Concept,,
nodesetSize-2,nodesetSize,,Meta-Node 1,,
outDegreeCentrality-1,outDegreeCentrality,Concept X Meta-Node 1,,,
outDegreeCentrality-3,outDegreeCentrality,Meta-Node grouping 1,,,
outDegreeCentrality-2,outDegreeCentrality,Semantic Network,,,
outDegreeCentralization-1,outDegreeCentralization,Concept X Meta-Node 1,,,
outDegreeCentralization-2,outDegreeCentralization,Meta-Node grouping 1,,,
outDegreeCentralization-3,outDegreeCentralization,Semantic Network,,,
pageRankCentrality-2,pageRankCentrality,Meta-Node grouping 1,,,
pageRankCentrality-1,pageRankCentrality,Semantic Network,,,
pooledEdgeCount-1,pooledEdgeCount,Meta-Node grouping 1,,,
pooledEdgeCount-2,pooledEdgeCount,Semantic Network,,,
potentialBoundarySpanner-2,potentialBoundarySpanner,Meta-Node grouping 1,,,
potentialBoundarySpanner-1,potentialBoundarySpanner,Semantic Network,,,
radials-2,radials,Meta-Node grouping 1,,,
radials-1,radials,Semantic Network,,,
reciprocity-1,reciprocity,Meta-Node grouping 1,,,
reciprocity-2,reciprocity,Semantic Network,,,
rowBreadth-1,rowBreadth,Concept X Meta-Node 1,,,
rowBreadth-2,rowBreadth,Meta-Node grouping 1,,,
rowBreadth-3,rowBreadth,Semantic Network,,,
rowCount-1,rowCount,Concept X Meta-Node 1,,,
rowCount-2,rowCount,Meta-Node grouping 1,,,
rowCount-3,rowCount,Semantic Network,,,
rowDegreeCentrality-1,rowDegreeCentrality,Concept X Meta-Node 1,,,
rowDegreeCentrality-3,rowDegreeCentrality,Meta-Node grouping 1,,,
rowDegreeCentrality-2,rowDegreeCentrality,Semantic Network,,,
rowGiniMeansDifference-2,rowGiniMeansDifference,Meta-Node grouping 1,,,
rowGiniMeansDifference-1,rowGiniMeansDifference,Semantic Network,,,
rowRedundancy-1,rowRedundancy,Concept X Meta-Node 1,,,
rowRedundancy-2,rowRedundancy,Meta-Node grouping 1,,,
rowRedundancy-3,rowRedundancy,Semantic Network,,,
sequentialEdgeCount-1,sequentialEdgeCount,Meta-Node grouping 1,,,
