Node-Id,Node-Title,authorityCentrality-2-New_Testament,betweennessCentrality-2-New_Testament,betweennessCentrality-2-New_Testament-unscaled,bonacichPowerCentrality-2-New_Testament,brokerage-2-New_Testament,capability-3-New_Testament,cliqueCount-1-New_Testament,closenessCentrality-2-New_Testament,closenessCentrality-2-New_Testament-unscaled,clusteringCoefficient-1-New_Testament,columnDegreeCentrality-2-New_Testament,columnDegreeCentrality-2-New_Testament-unscaled,columnDegreeCentrality-3-New_Testament,columnDegreeCentrality-3-New_Testament-unscaled,columnGiniMeansDifference-2-New_Testament,columnGiniMeansDifference-3-New_Testament,correlationDistinctiveness-3-New_Testament,correlationExpertise-3-New_Testament,correlationResemblance-3-New_Testament,correlationSimilarity-3-New_Testament,diagonal-2-New_Testament,eccentricity-2-New_Testament,eccentricity-2-New_Testament-unscaled,egoBetweennessCentrality-2-New_Testament,eigenvectorCentrality-2-New_Testament,eigenvectorCentrality-2-New_Testament-unscaled,exclusivity-3-New_Testament,exclusivity-3-New_Testament-unscaled,exclusivityComplete-3-New_Testament,exclusivityComplete-3-New_Testament-unscaled,hubCentrality-2-New_Testament,inClosenessCentrality-2-New_Testament,inClosenessCentrality-2-New_Testament-unscaled,inDegreeCentrality-2-New_Testament,inDegreeCentrality-2-New_Testament-unscaled,inDegreeCentrality-3-New_Testament,inDegreeCentrality-3-New_Testament-unscaled,inInverseClosenessCentrality-2-New_Testament,inInverseClosenessCentrality-2-New_Testament-unscaled,informationCentrality-1-New_Testament,informationCentrality-1-New_Testament-unscaled,interlockers-2-New_Testament,inverseClosenessCentrality-2-New_Testament,inverseClosenessCentrality-2-New_Testament-unscaled,outDegreeCentrality-3-New_Testament,outDegreeCentrality-3-New_Testament-unscaled,pageRankCentrality-2-New_Testament,potentialBoundarySpanner-2-New_Testament,radials-2-New_Testament,rowDegreeCentrality-3-New_Testament,rowDegreeCentrality-3-New_Testament-unscaled,rowGiniMeansDifference-2-New_Testament,simmelianTies-2-New_Testament,simmelianTies-2-New_Testament-unscaled,strongComponentCount-1-New_Testament,structuralHolesConstraint-2-New_Testament,structuralHolesEffectiveNetworkSize-2-New_Testament,structuralHolesEfficiency-2-New_Testament,totalDegreeCentrality-2-New_Testament,totalDegreeCentrality-2-New_Testament-unscaled,triadCount-2-New_Testament,weakBoundarySpanner-2-New_Testament,weakComponentMembers-2-New_Testament
21,21,6.41E-04,0,0,5,0,3.99E-02,0,2.87E-04,6.11E-06,1,7.50E-03,3,9.47E-04,5,1.49E-02,2.02E-01,8.16E-02,4.67E-02,9.18E-01,3.47E-02,4,7.50E-01,6,0,9.06E-04,6.41E-04,7.67E-03,3.68E-01,0,0,6.41E-04,5.18E-05,0,7.50E-03,3,9.47E-04,5,1.30E-01,6.12E+00,2.07E-02,2.15E+00,0,1.30E-01,6.12E+00,9.47E-04,5,9.96E-03,0,0,9.47E-04,5,2.02E-01,0,0,1,1,1,1,9.47E-04,5,0,0,2
18,18,1.44E-03,0,0,39,0,3.99E-02,0,2.87E-04,6.11E-06,1,3.25E-02,13,7.39E-03,39,6.29E-02,1.59E+00,8.42E-02,4.81E-02,9.16E-01,2.29E-02,37,1,8,0,2.04E-03,1.44E-03,7.68E-03,3.69E-01,0,0,1.44E-03,5.17E-05,0,3.25E-02,13,7.39E-03,39,7.08E-02,3.33E+00,3.29E-02,3.40E+00,0,7.08E-02,3.33E+00,7.39E-03,39,1.32E-02,0,0,7.39E-03,39,1.59E+00,0,0,1,1,1,1,7.39E-03,39,0,0,2
10,10,1.53E-04,0,0,3,0,3.99E-02,0,2.87E-04,6.11E-06,1,5.00E-03,2,5.68E-04,3,9.95E-03,1.21E-01,8.16E-02,4.67E-02,9.18E-01,4.00E-02,2,6.25E-01,5,0,2.17E-04,1.53E-04,7.67E-03,3.68E-01,0,0,1.53E-04,5.18E-05,0,5.00E-03,2,5.68E-04,3,1.34E-01,6.32E+00,1.62E-02,1.68E+00,0,1.34E-01,6.32E+00,5.68E-04,3,1.10E-02,0,0,5.68E-04,3,1.21E-01,0,0,1,1,1,1,5.68E-04,3,0,0,2
13,13,1.62E-04,0,0,9,0,3.99E-02,0,2.87E-04,6.11E-06,1,1.00E-02,4,1.70E-03,9,1.98E-02,3.65E-01,8.16E-02,4.67E-02,9.18E-01,4.00E-02,8,6.25E-01,5,0,2.29E-04,1.62E-04,7.67E-03,3.68E-01,0,0,1.62E-04,5.18E-05,0,1.00E-02,4,1.70E-03,9,1.34E-01,6.32E+00,2.55E-02,2.64E+00,0,1.34E-01,6.32E+00,1.70E-03,9,1.10E-02,0,0,1.70E-03,9,3.65E-01,0,0,1,1,1,1,1.70E-03,9,0,0,2
16,16,1.59E-04,0,0,7,0,3.99E-02,0,2.87E-04,6.11E-06,1,7.50E-03,3,1.33E-03,7,1.49E-02,2.84E-01,8.16E-02,4.67E-02,9.18E-01,4.00E-02,6,6.25E-01,5,0,2.25E-04,1.59E-04,7.67E-03,3.68E-01,0,0,1.59E-04,5.18E-05,0,7.50E-03,3,1.33E-03,7,1.34E-01,6.32E+00,2.35E-02,2.44E+00,0,1.34E-01,6.32E+00,1.33E-03,7,1.10E-02,0,0,1.33E-03,7,2.84E-01,0,0,1,1,1,1,1.33E-03,7,0,0,2
37,37,3.33E-02,0,0,37,1.00E-01,3.88E-01,2,2.87E-04,6.11E-06,9.00E-01,2.25E-02,9,7.01E-03,37,4.40E-02,1.46E+00,1.22E-01,3.71E-02,8.78E-01,8.69E-02,21,7.50E-01,6,2.50E-01,4.72E-02,3.33E-02,5.49E-04,2.63E-02,0,0,3.33E-02,5.17E-05,0,2.25E-02,9,7.01E-03,37,1.15E-01,5.42E+00,3.26E-02,3.38E+00,0,1.15E-01,5.42E+00,7.01E-03,37,5.52E-02,0,0,7.01E-03,37,1.46E+00,8.51E-02,4,1,7.46E-01,1.94E+00,4.85E-01,7.01E-03,37,5,0,2
25,25,3.38E-01,0,0,155,3.89E-01,9.60E-01,6,2.87E-04,6.11E-06,6.11E-01,7.00E-02,28,2.94E-02,155,1.30E-01,6.07E+00,1.85E-01,2.73E-02,8.15E-01,1.14E-01,110,1,8,0,4.78E-01,3.38E-01,3.89E-03,1.87E-01,0,0,3.38E-01,5.17E-05,0,7.00E-02,28,2.94E-02,155,8.14E-02,3.83E+00,3.51E-02,3.64E+00,1,8.14E-02,3.83E+00,2.94E-02,155,1.53E-01,0,0,2.94E-02,155,6.07E+00,1.70E-01,8,1,4.07E-01,6.02E+00,7.53E-01,2.94E-02,155,14,0,2
34,34,0,0,0,2,1,1.64E-02,0,1.89E-04,4.03E-06,0,5.00E-03,2,3.79E-04,2,9.95E-03,8.16E-02,7.09E-02,5.12E-02,9.29E-01,0,2,0,0,0,0,0,2.08E-02,1,2.08E-02,1,0,4.73E-05,0,5.00E-03,2,3.79E-04,2,0,0,1.29E-02,1.33E+00,0,0,0,3.79E-04,2,6.93E-03,0,0,3.79E-04,2,8.16E-02,0,0,0,0,0,0,3.79E-04,2,0,0,1
42,42,0,0,0,2,1,1.64E-02,0,1.89E-04,4.03E-06,0,5.00E-03,2,3.79E-04,2,9.95E-03,8.16E-02,7.09E-02,5.12E-02,9.29E-01,0,2,0,0,0,0,0,2.08E-02,1,2.08E-02,1,0,4.73E-05,0,5.00E-03,2,3.79E-04,2,0,0,1.29E-02,1.33E+00,0,0,0,3.79E-04,2,6.93E-03,0,0,3.79E-04,2,8.16E-02,0,0,14,0,0,0,3.79E-04,2,0,0,3
8,8,0,0,0,2,1,1.64E-02,0,1.89E-04,4.03E-06,0,5.00E-03,2,3.79E-04,2,9.95E-03,8.16E-02,7.09E-02,5.12E-02,9.29E-01,0,2,0,0,0,0,0,2.08E-02,1,2.08E-02,1,0,4.73E-05,0,5.00E-03,2,3.79E-04,2,0,0,1.29E-02,1.33E+00,0,0,0,3.79E-04,2,6.93E-03,0,0,3.79E-04,2,8.16E-02,0,0,15,0,0,0,3.79E-04,2,0,0,4
