Measure-Key,New_Testament,
columnBreadth-1,1,
columnCount-1,48,
columnRedundancy-1,1.837928e-002,
density-1,2.083333e-002,
edgeCount-1,400,
edgeSum-1,400,
inDegreeCentralization-1,4.110276e-002,
outDegreeCentralization-1,0,
rowBreadth-1,0,
rowCount-1,400,
rowRedundancy-1,0,
weightedDensity-1,2.083333e-002,
