Node-Id,Node-Title,authorityCentrality-1-New_Testament,betweennessCentrality-1-New_Testament,betweennessCentrality-1-New_Testament-unscaled,bonacichPowerCentrality-1-New_Testament,brokerage-1-New_Testament,capability-1-New_Testament,capability-2-New_Testament,cliqueCount-2-New_Testament,closenessCentrality-1-New_Testament,closenessCentrality-1-New_Testament-unscaled,clusteringCoefficient-2-New_Testament,cognitiveDemand-1-New_Testament,columnDegreeCentrality-1-New_Testament,columnDegreeCentrality-1-New_Testament-unscaled,columnGiniMeansDifference-1-New_Testament,correlationDistinctiveness-1-New_Testament,correlationDistinctiveness-2-New_Testament,correlationExpertise-1-New_Testament,correlationExpertise-2-New_Testament,correlationResemblance-1-New_Testament,correlationResemblance-2-New_Testament,correlationSimilarity-1-New_Testament,correlationSimilarity-2-New_Testament,diagonal-1-New_Testament,eccentricity-1-New_Testament,eccentricity-1-New_Testament-unscaled,egoBetweennessCentrality-1-New_Testament,eigenvectorCentrality-1-New_Testament,eigenvectorCentrality-1-New_Testament-unscaled,exclusivity-1-New_Testament,exclusivity-1-New_Testament-unscaled,exclusivity-2-New_Testament,exclusivity-2-New_Testament-unscaled,exclusivityComplete-1-New_Testament,exclusivityComplete-1-New_Testament-unscaled,exclusivityComplete-2-New_Testament,exclusivityComplete-2-New_Testament-unscaled,hubCentrality-1-New_Testament,inClosenessCentrality-1-New_Testament,inClosenessCentrality-1-New_Testament-unscaled,inDegreeCentrality-1-New_Testament,inDegreeCentrality-1-New_Testament-unscaled,inInverseClosenessCentrality-1-New_Testament,inInverseClosenessCentrality-1-New_Testament-unscaled,interlockers-1-New_Testament,inverseClosenessCentrality-1-New_Testament,inverseClosenessCentrality-1-New_Testament-unscaled,outDegreeCentrality-1-New_Testament,outDegreeCentrality-1-New_Testament-unscaled,outDegreeCentrality-2-New_Testament,outDegreeCentrality-2-New_Testament-unscaled,pageRankCentrality-1-New_Testament,potentialBoundarySpanner-1-New_Testament,radials-1-New_Testament,rowDegreeCentrality-1-New_Testament,rowDegreeCentrality-1-New_Testament-unscaled,rowDegreeCentrality-2-New_Testament,rowDegreeCentrality-2-New_Testament-unscaled,rowGiniMeansDifference-1-New_Testament,sharedSituationAwareness-1-New_Testament,simmelianTies-1-New_Testament,simmelianTies-1-New_Testament-unscaled,strongComponentCount-2-New_Testament,structuralHolesConstraint-1-New_Testament,structuralHolesEffectiveNetworkSize-1-New_Testament,structuralHolesEfficiency-1-New_Testament,totalDegreeCentrality-1-New_Testament,totalDegreeCentrality-1-New_Testament-unscaled,triadCount-1-New_Testament,weakBoundarySpanner-1-New_Testament,weakComponentMembers-1-New_Testament,
rhoda,rhoda,5.770196e-005,0,0,1,0,9.933072e-001,8.230315e-003,0,1.021166e-005,0,1,5.630631e-006,5.630631e-006,1,4.987500e-003,3.884712e-002,7.268170e-003,1.983683e-002,4.874341e-003,9.611529e-001,9.927318e-001,6.766918e-002,7.774630e-003,0,6.666667e-001,12,0,8.160290e-005,5.770196e-005,0,0,0,0,0,0,0,0,5.770196e-005,1.585471e-006,0,5.630631e-006,1,9.585688e-002,3.824689e+001,0,9.585689e-002,3.824690e+001,2.083333e-002,1,5.630631e-006,1,7.610109e-004,0,0,2.083333e-002,1,5.630631e-006,1,4.987500e-003,4.787724e-006,0,0,0,1,1,1,5.630631e-006,1,0,0,1,
roman,roman,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,327,0,0,0,0,0,0,0,157,
rufus,rufus,0,0,0,1,1,9.933072e-001,8.230315e-003,0,1.021166e-005,0,0,5.630631e-006,5.630631e-006,1,4.987500e-003,3.936926e-002,7.431078e-003,2.010345e-002,4.955999e-003,9.606307e-001,9.925689e-001,5.513784e-002,4.624657e-004,0,6.666667e-001,12,0,0,0,0,0,3.383382e-004,1.353353e-001,0,0,0,0,0,1.585471e-006,0,5.630631e-006,1,9.326905e-002,3.721435e+001,0,9.326907e-002,3.721436e+001,2.083333e-002,1,5.630631e-006,1,1.135720e-003,0,0,2.083333e-002,1,5.630631e-006,1,4.987500e-003,4.787724e-006,0,0,0,1,1,1,5.630631e-006,1,0,0,1,
ruth,ruth,1.675936e-003,1.889145e-005,1.500000e+000,3,3.333333e-001,9.933072e-001,1.011736e-002,1,5.687649e-006,0,6.666667e-001,1.689189e-005,1.689189e-005,3,1.493750e-002,4.124895e-002,9.887218e-003,2.106330e-002,4.943263e-003,9.587510e-001,9.901128e-001,1.002506e-002,3.634085e-003,0,2.777778e-001,5,5.000000e-001,2.370134e-003,1.675938e-003,3.815758e-004,1.831564e-002,4.628059e-004,1.851223e-001,0,0,0,0,1.675936e-003,1.411194e-006,0,1.689189e-005,3,5.513784e-003,2.200000e+000,0,5.513784e-003,2.200000e+000,2.083333e-002,1,1.689189e-005,3,2.208989e-003,9.386733e-005,0,2.083333e-002,1,1.689189e-005,3,1.493750e-002,2.489616e-005,5.012531e-003,2,79,1.059753e+000,1.166667e+000,5.833333e-001,1.689189e-005,3,1,0,45,
sabaoth,sabaoth,0,0,0,1,1,9.933072e-001,8.230315e-003,0,1.021156e-005,0,0,5.630631e-006,5.630631e-006,1,4.987500e-003,4.010025e-002,7.443609e-003,2.047672e-002,4.962280e-003,9.598997e-001,9.925564e-001,3.759398e-002,3.580380e-004,0,7.777778e-001,14,0,0,0,0,0,9.196986e-004,3.678795e-001,0,0,0,0,0,1.585468e-006,0,5.630631e-006,1,6.515485e-002,2.599678e+001,0,6.515485e-002,2.599679e+001,2.083333e-002,1,5.630631e-006,1,1.576520e-003,0,0,2.083333e-002,1,5.630631e-006,1,4.987500e-003,4.787724e-006,0,0,0,1,1,1,5.630631e-006,1,0,0,1,
sadducees,sadducees,9.192811e-005,0,0,9,1,9.933072e-001,1.011736e-002,0,1.021169e-005,0,0,5.067568e-005,5.067568e-005,9,4.486250e-002,4.010025e-002,9.573935e-003,2.047672e-002,4.785834e-003,9.598997e-001,9.904261e-001,3.759398e-002,1.733799e-002,0,6.666667e-001,12,1,1.300060e-004,9.192811e-005,0,0,2.279705e-006,9.118821e-004,0,0,0,0,9.192811e-005,1.585472e-006,0,5.067568e-005,9,1.109879e-001,4.428419e+001,0,1.109880e-001,4.428420e+001,2.083333e-002,1,5.067568e-005,9,3.240148e-003,0,0,2.083333e-002,1,5.067568e-005,9,4.486250e-002,3.112020e-004,0,0,0,8.024691e-001,2,1,5.067568e-005,9,0,0,1,
salamis,salamis,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,332,0,0,0,0,0,0,0,158,
salathiel,salathiel,0,2.241785e-003,178,7,6.666667e-001,9.933072e-001,1.243165e-002,1,1.021143e-005,0,3.333333e-001,3.941442e-005,3.941442e-005,7,3.481250e-002,4.041353e-002,1.236842e-002,2.063670e-002,4.943088e-003,9.595864e-001,9.876316e-001,3.007519e-002,3.091061e-003,0,9.444444e-001,17,6.666667e-001,0,0,0,6.144212e-006,2.748935e-003,1.099574e+000,0,0,2.500000e-003,1,0,1.585466e-006,0,3.941442e-005,7,4.878420e-002,1.946490e+001,0,4.878421e-002,1.946490e+001,2.083333e-002,1,3.941442e-005,7,5.356775e-003,4.773824e-003,0,2.083333e-002,1,3.941442e-005,7,3.481250e-002,1.014998e-004,5.012531e-003,2,0,6.484799e-001,2.285714e+000,7.619047e-001,3.941442e-005,7,1,1,1,
salim,salim,3.687449e-005,0,0,3,3.333333e-001,9.933072e-001,1.011736e-002,1,1.021166e-005,0,6.666667e-001,1.689189e-005,1.689189e-005,3,1.493750e-002,3.884712e-002,9.649123e-003,1.983683e-002,4.823617e-003,9.611529e-001,9.903509e-001,6.766918e-002,8.211809e-003,0,6.666667e-001,12,0,5.214841e-005,3.687449e-005,0,0,9.196986e-004,3.678795e-001,0,0,0,0,3.687449e-005,1.585470e-006,0,1.689189e-005,3,9.010042e-002,3.595007e+001,0,9.010044e-002,3.595007e+001,2.083333e-002,1,1.689189e-005,3,1.438806e-003,0,0,2.083333e-002,1,1.689189e-005,3,1.493750e-002,2.489616e-005,5.012531e-003,2,0,1.060157e+000,1.301587e+000,6.507937e-001,1.689189e-005,3,1,0,1,
salmon,salmon,9.044091e-003,0,0,11,6.666667e-001,9.933072e-001,1.243165e-002,1,5.687648e-006,0,3.333333e-001,6.193694e-005,6.193694e-005,11,5.461250e-002,4.124895e-002,1.236842e-002,2.106330e-002,4.943088e-003,9.587510e-001,9.876316e-001,1.002506e-002,3.801170e-003,4,3.888889e-001,7,0,1.279028e-002,9.044090e-003,3.815758e-004,1.831564e-002,1.382505e-003,5.530018e-001,0,0,0,0,9.044091e-003,1.411194e-006,0,6.193694e-005,11,2.321279e-003,9.261905e-001,0,2.321279e-003,9.261905e-001,2.083333e-002,1,6.193694e-005,11,4.316947e-003,0,0,2.083333e-002,1,6.193694e-005,11,5.461250e-002,1.972542e-004,5.012531e-003,2,79,7.097507e-001,1.702381e+000,8.511904e-001,6.193694e-005,11,1,0,45,
salome,salome,9.643423e-006,3.891639e-004,3.090000e+001,2,0,9.933072e-001,1.011736e-002,1,1.021170e-005,0,1,1.126126e-005,1.126126e-005,2,9.950000e-003,4.083125e-002,9.573935e-003,2.085000e-002,4.785834e-003,9.591687e-001,9.904261e-001,2.005013e-002,1.042251e-002,0,5.555556e-001,10,1,1.363786e-005,9.643424e-006,6.988805e-006,3.354626e-004,0,0,0,0,0,0,9.643423e-006,1.585472e-006,0,1.126126e-005,2,1.126636e-001,4.495278e+001,0,1.126636e-001,4.495278e+001,2.083333e-002,1,1.126126e-005,2,1.016781e-003,2.900501e-003,0,2.083333e-002,1,1.126126e-005,2,9.950000e-003,1.053299e-005,5.012531e-003,2,0,6.200036e-001,1.699248e+000,8.496240e-001,1.126126e-005,2,1,0,1,
samos,samos,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,337,0,0,0,0,0,0,0,159,
samothracia,samothracia,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,338,0,0,0,0,0,0,0,160,
samson,samson,0,0,0,1,1,9.933072e-001,8.230315e-003,0,5.644778e-006,0,0,5.630631e-006,5.630631e-006,1,4.987500e-003,4.156224e-002,7.456140e-003,2.122327e-002,4.968562e-003,9.584377e-001,9.925439e-001,2.506266e-003,0,0,5.555556e-002,1,0,5.000000e-003,3.535534e-003,7.664155e-003,3.678795e-001,2.500000e-003,1,0,0,2.500000e-003,1,0,1.408540e-006,0,5.630631e-006,1,2.506266e-003,1,0,2.506266e-003,1,2.083333e-002,1,5.630631e-006,1,3.613099e-003,0,0,2.083333e-002,1,5.630631e-006,1,4.987500e-003,4.787724e-006,0,0,62,1,1,1,5.630631e-006,1,0,0,38,
samuel,samuel,1.578653e-005,0,0,1,0,9.933072e-001,8.230315e-003,0,1.021165e-005,0,1,5.630631e-006,5.630631e-006,1,4.987500e-003,3.936926e-002,7.355890e-003,2.010345e-002,4.918311e-003,9.606307e-001,9.926441e-001,5.513784e-002,7.355194e-003,0,6.111111e-001,11,0,2.232552e-005,1.578653e-005,0,0,0,3.354626e-004,0,0,0,0,1.578653e-005,1.585470e-006,0,5.630631e-006,1,8.872613e-002,3.540173e+001,0,8.872615e-002,3.540173e+001,2.083333e-002,1,5.630631e-006,1,9.072479e-004,0,0,2.083333e-002,1,5.630631e-006,1,4.987500e-003,4.787724e-006,0,0,0,1,1,1,5.630631e-006,1,0,0,1,
sapphira,sapphira,0,0,0,1,1,9.933072e-001,8.230315e-003,0,5.644778e-006,0,0,5.630631e-006,5.630631e-006,1,4.987500e-003,4.156224e-002,7.456140e-003,2.122327e-002,4.968562e-003,9.584377e-001,9.925439e-001,2.506266e-003,0,0,5.555556e-002,1,0,5.000000e-003,3.535534e-003,7.664155e-003,3.678795e-001,2.500000e-003,1,0,0,2.500000e-003,1,0,1.408540e-006,0,5.630631e-006,1,2.506266e-003,1,0,2.506266e-003,1,2.083333e-002,1,5.630631e-006,1,3.613027e-003,0,0,2.083333e-002,1,5.630631e-006,1,4.987500e-003,4.787724e-006,0,0,26,1,1,1,5.630631e-006,1,0,0,17,
sarah,sarah,0,0,0,0,1,9.933072e-001,6.692851e-003,0,5.630631e-006,0,0,0,0,0,0,2.662907e-002,4.962406e-003,1.359782e-002,4.962406e-003,9.733709e-001,9.950376e-001,3.609022e-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.407658e-006,0,0,0,0,0,0,0,0,2.083333e-002,1,0,0,5.420053e-004,0,0,2.083333e-002,1,0,0,0,0,0,0,342,0,0,0,0,0,0,0,161,
